Binding Energy (E),,C1s Scan A,C1s Scan B,C1s Scan C,C1s Scan D,Backgnd.,Envelope,Residuals,,  
291.28,3020.38,2811.01,2784.57,2971.07,2924.82,2784.57,3137.77,-117.394,,
291.18,3006.43,2823.13,2784.15,2986.11,2949.47,2784.15,3190.41,-183.99,,
291.08,3210.12,2839.2,2783.66,3002.77,2981.04,2783.66,3255.71,-45.5846,,
290.98,3192.22,2859.66,2783.08,3021.47,3021.54,2783.06,3336.56,-144.34,,
290.88,3348.09,2884.72,2782.39,3042.71,3073.35,2782.35,3436.12,-88.0326,,
290.78,3486.86,2914.28,2781.58,3067.15,3139.12,2781.51,3557.61,-70.7536,,
290.68,3539.26,2947.93,2780.66,3095.59,3221.52,2780.51,3704.17,-164.903,,
290.58,3841.79,2984.92,2779.58,3129.08,3322.86,2779.29,3878.57,-36.7749,,
290.48,4066.54,3024.41,2778.39,3169.07,3444.74,2777.84,4083.08,-16.5422,,
290.38,4268.31,3065.4,2777.11,3217.51,3587.41,2776.11,4319.09,-50.7813,,
290.28,4633.19,3107.05,2775.79,3277.05,3749.21,2774.05,4586.96,46.2217,,
290.18,4887.59,3148.71,2774.58,3351.31,3926.17,2771.61,4885.93,1.65565,,
290.08,5324.01,3190.08,2773.66,3445.13,4111.76,2768.78,5214.29,109.716,,
289.98,5635.3,3231.19,2773.28,3564.85,4297.01,2765.52,5569.78,65.5211,,
289.88,6025.43,3272.47,2773.82,3718.57,4471.15,2761.85,5950.47,74.9588,,
289.78,6263.63,3314.52,2775.52,3916.06,4622.33,2757.63,6355.54,-91.9068,,
289.68,7067.63,3358.33,2778.84,4168.87,4739.3,2752.92,6786.59,281.037,,
289.58,7336.11,3405.01,2784.09,4489.46,4812.49,2747.63,7248.17,87.9473,,
289.48,7921.23,3455.88,2791.58,4890.24,4835.47,2741.75,7747.91,173.321,,
289.38,8392.73,3512.35,2801.4,5381.72,4805.74,2735.19,8295.65,97.0801,,
289.28,9015.58,3576.28,2813.7,5970.51,4725.32,2728.03,8901.71,113.872,,
289.18,9428.85,3649.7,2828.29,6656.31,4600.18,2720.23,9573.78,-144.927,,
289.08,9906.13,3735.16,2844.82,7429.58,4439.47,2711.74,10313.8,-407.668,,
288.98,10689.9,3835.87,2862.7,8269.42,4254.23,2702.42,11114.9,-425.011,,
288.88,11701.7,3956.1,2881.22,9142.88,4056.01,2692.1,11959.9,-258.199,,
288.78,13056.7,4101.76,2899.73,10006.1,3855.64,2680.64,12821.3,235.373,,
288.68,13968,4281.16,2917.72,10807.3,3662.27,2668.02,13664.4,303.648,,
288.58,14538.2,4505.85,2934.86,11491.7,3482.67,2654.24,14452.4,85.7957,,
288.48,15348,4791.93,2951.12,12007.8,3321.2,2639.42,15153.8,194.25,,
288.38,15814.7,5161.42,2966.82,12314,3179.95,2623.84,15750.7,64.0269,,
288.28,16090.8,5643.35,2982.18,12383.8,3058.79,2607.46,16245.7,-154.924,,
288.18,17109.8,6275.3,2997.75,12210.2,2956.34,2590.41,16668.3,441.523,,
288.08,17225.3,7103.63,3014.15,11806.1,2870.32,2572.72,17076.1,149.188,,
287.98,17830.1,8182.27,3032.16,11203.2,2798.1,2554.44,17552.4,277.722,,
287.88,18089.2,9569.07,3052.49,10446.7,2736.92,2535.49,18198.7,-109.518,,
287.78,18749.2,11319.1,3075.94,9589.71,2684.18,2515.71,19121.8,-372.585,,
287.68,20416.2,13474.6,3103.32,8686.43,2637.55,2494.82,20417.5,-1.28982,,
287.58,21562.6,16052.2,3135.46,7786.25,2594.87,2472.4,22151.6,-589.02,,
287.48,23982.5,19028.7,3173.24,6929.29,2554.15,2447.77,24342.1,-359.619,,
287.38,26918.7,22329.7,3218.1,6144.29,2513.86,2420.42,26944.7,-25.9376,,
287.28,29640.5,25822.3,3272.08,5448.12,2472.75,2389.86,29845.7,-205.226,,
287.18,33268.4,29317.9,3338.12,4846.95,2429.89,2355.73,32865.7,402.755,,
287.08,35918.7,32584.6,3420.67,4338.69,2384.79,2317.94,35774.9,143.795,,
286.98,38615.2,35371.8,3526.08,3915.68,2337.42,2276.79,38320.6,294.558,,
286.88,40380.3,37442,3662.92,3566.85,2287.86,2232.57,40261.9,118.402,,
286.78,41865.2,38605.1,3843.15,3280.48,2236.81,2186.16,41407.1,458.122,,
286.68,41914.4,38748.2,4082.22,3044.99,2184.88,2138.32,41645.3,269.113,,
286.58,41534.5,37854.1,4400.31,2850.5,2133.16,2090.23,40967.4,567.068,,
286.48,39349.5,36004.3,4822.21,2688.66,2082.58,2042.93,39468.9,-119.414,,
286.38,37005.3,33365.4,5377.52,2553.05,2034.2,1997.55,37337.5,-332.215,,
286.28,33853.2,30162.8,6099.11,2438.31,1988.5,1954.66,34824.7,-971.492,,
286.18,31641.5,26647,7021.4,2340.47,1945.95,1914.76,32210.5,-568.971,,
286.08,29194.5,23059.8,8176.1,2256.04,1906.33,1877.71,29765.1,-570.614,,
285.98,27662.7,19607.3,9587.45,2182.24,1869.31,1843.2,27716.7,-54.0654,,
285.88,26511.5,16442.6,11265.4,2116.62,1834.24,1810.62,26226.9,284.543,,
285.78,25896.8,13659.8,13198.8,2057.35,1800.61,1779.47,25378.2,518.574,,
285.68,25696.3,11298.5,15349.2,2002.66,1767.7,1749.02,25171,525.334,,
285.58,26225.4,9353.74,17646.5,1951.22,1734.95,1718.7,25530.3,695.108,,
285.48,26987.7,7790.36,19989.1,1901.94,1701.94,1688.04,26319.2,668.514,,
285.38,27751.1,6556.05,22248.9,1853.96,1668.33,1656.67,27357.3,393.886,,
285.28,28616.4,5592.65,24281.8,1806.6,1633.92,1624.35,28442,174.478,,
285.18,29406.9,4844.23,25942.5,1759.5,1598.74,1591.07,29371.7,35.1772,,
285.08,29971.2,4261.74,27101.9,1712.61,1563.11,1557.1,29968,3.15608,,
284.98,29608.6,3804.79,27664.3,1665.99,1527.36,1522.78,30094.1,-485.506,,
284.88,29007,3441.8,27580.6,1619.84,1491.94,1488.55,29668.6,-661.589,,
284.78,28138.1,3149.08,26855.6,1574.54,1457.42,1454.97,28671.7,-533.66,,
284.68,26588.9,2909.25,25547,1530.54,1424.29,1422.58,27143.3,-554.458,,
284.58,24987.2,2709.82,23757.3,1488.3,1393.06,1391.9,25172.8,-185.596,,
284.48,22545.7,2541.7,21619.8,1448.17,1364,1363.24,22883.9,-338.262,,
284.38,20700,2398.53,19280.9,1410.67,1337.49,1337,20416.6,283.409,,
284.28,18174.5,2275.51,16883.3,1376.14,1313.68,1313.37,17908.5,265.992,,
284.18,15896.2,2169.18,14551.4,1345,1292.76,1292.57,15480.6,415.593,,
284.08,13429.7,2076.5,12381.4,1317.26,1274.52,1274.42,13226.5,203.26,,
283.98,11742.2,1995.23,10438,1293.1,1258.96,1258.9,11208.6,533.577,,
283.88,9938.67,1923.25,8754.36,1272.39,1245.8,1245.77,9458.49,480.182,,
283.78,8425.11,1858.7,7337.05,1254.96,1234.79,1234.77,7981.18,443.93,,
283.68,7209.8,1799.9,6172.68,1240.5,1225.62,1225.61,6761.87,447.931,,
283.58,5938.84,1745.37,5235,1228.72,1218.06,1218.05,5772.99,165.844,,
283.48,5210.74,1693.84,4491.27,1219.28,1211.86,1211.86,4980.68,230.053,,
283.38,4393.62,1644.24,3907.38,1211.78,1206.77,1206.77,4349.86,43.7606,,
283.28,3898.46,1595.82,3451.3,1205.87,1202.59,1202.59,3847.82,50.6477,,
283.18,3510.83,1548.23,3095.08,1201.23,1199.15,1199.15,3446.25,64.5874,,
283.08,2917.66,1501.55,2815.62,1197.65,1196.38,1196.38,3122.07,-204.414,,
282.98,2499.18,1456.1,2594.44,1194.86,1194.1,1194.1,2857.2,-358.02,,
282.88,2371.41,1412.56,2417.38,1192.68,1192.24,1192.24,2638.13,-266.721,,
282.78,2177.65,1371.74,2273.75,1190.98,1190.74,1190.74,2455,-277.344,,
282.68,2074.09,1334.44,2155.55,1189.61,1189.48,1189.48,2300.64,-226.553,,
282.58,1952.83,1301.31,2056.87,1188.43,1188.36,1188.36,2169.89,-217.061,,
282.48,1892.29,1272.87,1973.45,1187.44,1187.41,1187.41,2058.94,-166.657,,
282.38,1695.02,1249.3,1902.07,1186.62,1186.61,1186.61,1964.78,-269.756,,
282.28,1563.99,1230.48,1840.29,1185.96,1185.95,1185.95,1884.84,-320.848,,
282.18,1491.13,1216,1786.23,1185.41,1185.41,1185.41,1816.83,-325.695,,
282.08,1488.13,1205.25,1738.35,1184.95,1184.95,1184.95,1758.65,-270.525,,
281.98,1520.75,1197.57,1695.39,1184.57,1184.57,1184.57,1708.4,-187.649,,
281.88,1429.58,1192.26,1656.28,1184.22,1184.22,1184.22,1664.31,-234.728,,
281.78,1370.92,1188.7,1620.07,1183.92,1183.92,1183.92,1624.86,-253.938,,
281.68,1362.35,1186.39,1585.97,1183.64,1183.64,1183.64,1588.71,-226.368,,
281.58,1342.27,1184.9,1553.26,1183.39,1183.39,1183.39,1554.77,-212.502,,
281.48,1443.01,1183.97,1521.39,1183.17,1183.17,1183.17,1522.2,-79.1874,,
281.38,1287.22,1183.37,1489.94,1182.96,1182.96,1182.96,1490.36,-203.133,,
281.28,1330.75,1182.98,1458.71,1182.78,1182.78,1182.78,1458.91,-128.16,,
281.18,1238.1,1182.72,1427.66,1182.62,1182.62,1182.62,1427.76,-189.658,,
281.08,1246.64,1182.55,1397.01,1182.51,1182.51,1182.51,1397.06,-150.413,,
280.98,1272.75,1182.42,1367.07,1182.4,1182.4,1182.4,1367.09,-94.3386,,
280.88,1271.28,1182.32,1338.36,1182.32,1182.32,1182.32,1338.36,-67.0819,,
280.78,1214.48,1182.24,1311.38,1182.24,1182.24,1182.24,1311.38,-96.9073,,
280.68,1210.05,1182.19,1286.68,1182.19,1182.19,1182.19,1286.68,-76.6391,,
280.58,1153.96,1182.15,1264.68,1182.15,1182.15,1182.15,1264.68,-110.719,,
280.48,1232.98,1182.11,1245.65,1182.11,1182.11,1182.11,1245.65,-12.6698,,
280.38,1229.28,1182.08,1229.69,1182.08,1182.08,1182.08,1229.69,-0.411368,,
280.28,1218.08,1182.05,1216.74,1182.05,1182.05,1182.05,1216.74,1.33111,,
280.18,1196.76,1182.01,1206.56,1182.01,1182.01,1182.01,1206.56,-9.79816,,
280.08,1211.64,1181.96,1198.83,1181.96,1181.96,1181.96,1198.83,12.8069,,
279.98,1228.83,1181.93,1193.16,1181.93,1181.93,1181.93,1193.16,35.6647,,
279.88,1199.02,1181.88,1189.13,1181.88,1181.88,1181.88,1189.13,9.89156,,
279.78,1271.35,1181.82,1186.36,1181.82,1181.82,1181.82,1186.36,84.9976,,
279.68,1233.27,1181.79,1184.53,1181.79,1181.79,1181.79,1184.53,48.7404,,
279.58,1110.5,1181.76,1183.37,1181.76,1181.76,1181.76,1183.37,-72.8746,,
279.48,1197.49,1181.73,1182.64,1181.73,1181.73,1181.73,1182.64,14.8457,,
279.38,1224.68,1181.72,1182.22,1181.72,1181.72,1181.72,1182.22,42.4659,,
279.28,1194.21,1194.97,1195.23,1194.97,1194.97,1194.97,1195.23,-1.02812,,
279.18,1208.3,1208.22,1208.36,1208.22,1208.22,1208.22,1208.36,-0.0581289,,
279.08,1205.7,0,0,0,0,0,1205.77,-0.0668289,,
